Provider Name/Clinic Name,County,Pfizer Doses Requested,Total Allocated - Pfizer,Moderna Doses Requested,Total Allocated - Moderna
publix pharmacy0026,Forsyth,0,0,1000,"0"
rainbow pediatric clinic llc,Forsyth,0,0,400,"0"
roswell pediatric center cumming,Forsyth,0,0,300,"0"
walgreens 10423,Forsyth,0,0,0,"0"
walgreens 7994,Forsyth,0,0,0,"0"
walmart store 4185,Forsyth,0,0,0,"0"
walmart store 4436,Forsyth,0,0,0,"0"
walmart store 7185,Forsyth,0,0,0,"0"
walmart store 878,Forsyth,0,0,0,"0"
Windermere Medical Clinic,Forsyth,0,0,4500,"1300"
Franklin County Health Department,Franklin,0,0,6600,"2800"
marketplace pharmacy,Franklin,0,0,0,"0"
Medlink Georgia - Royston,Franklin,0,0,1100,"1100"
toccoa clinic lavonia,Franklin,0,0,1500,"0"
1st Care Management,Fulton,0,0,5900,"200"
Absolutecare Medical Center And Pharmacy,Fulton,975,0,2400,"300"
Adamsville Regional Health Center,Fulton,0,0,12000,"1400"
aids health foundation,Fulton,0,0,0,"0"
alluriam,Fulton,0,0,200,"0"
alpha family medicine,Fulton,0,0,200,"0"
Alpha Medical Centre,Fulton,0,0,2500,"500"
Alpha Omega Ob/Gyn,Fulton,1950,0,600,"0"
alpharetta,Fulton,0,0,0,"0"
Alpharetta Roswell Family Practice,Fulton,0,0,1000,"0"
aoi surgery center,Fulton,0,0,0,"0"
asa yancey family med,Fulton,0,0,0,"0"
ascend medical of georgia,Fulton,0,0,6000,"0"
Atlanta Center For Medical Research,Fulton,1950,0,200,"0"
Atlanta Diabetes Associates,Fulton,4875,2925,5900,"300"
atlanta ent sinus allergy associates,Fulton,975,0,100,"0"
Atlanta Harm Reduction Coalition,Fulton,0,0,700,"200"
Atlanta Id Group,Fulton,0,0,3700,"1000"
atlanta womens specialists,Fulton,0,0,0,"0"
Balanced Bodies Anti-aging Clinic,Fulton,0,0,300,"0"
blood marrow transplant group of georg,Fulton,0,0,200,"0"
Buckhead Internal Medicine,Fulton,0,0,2100,"200"
Buckhead Medicine,Fulton,0,0,500,"300"
Children's Healthcare Of Atlanta At Hughes Spalding,Fulton,0,0,700,"400"
clark atlanta university student health,Fulton,0,0,0,"0"
Clinica Union Ii Roswell,Fulton,0,0,4100,"600"
College Park Health Center,Fulton,0,1950,14000,"4200"
community advanced practice nurses at covenant house georgia Fulton,0,0,200,"0",NA
community advanced practice nurses inc,Fulton,0,0,500,"0"
comprehensive care center at camp creek,Fulton,0,0,0,"0"
Comprehensive Internal Medicine,Fulton,0,0,4000,"800"
Concentra - Conyers,Fulton,0,0,1000,"400"
Concentra Urgent Care,Fulton,0,0,200,"0"
Concierge Medicine Of Buckhead,Fulton,0,0,400,"0"
coney minter internal medicine pc,Fulton,0,0,2000,"0"
cvs 4604,Fulton,0,0,0,"0"
cvs 4717,Fulton,0,0,0,"0"
davita loring heights dialysis,Fulton,0,0,0,"0"
Davita East Point,Fulton,0,0,2100,"0"
Digestive Healthcare Of Ga,Fulton,0,0,100,"0"
east point,Fulton,975,0,0,"0"
east point family medicine,Fulton,0,0,0,"0"
evans family medicine,Fulton,0,0,0,"0"
faebris medical community education l,Fulton,0,0,0,"0"
Family Practice Center P.C.,Fulton,0,0,800,"800"
fiserv wellness center,Fulton,0,0,0,"0"
fulton county jail,Fulton,0,0,0,"0"
gema,Fulton,0,0,0,"0"
Georgia Ob/Gyn,Fulton,0,0,200,"0"
georgia surgical center on peachtree,Fulton,0,0,200,"0"
Good Samaritan Health Center,Fulton,0,0,1300,"600"
grady health services,Fulton,0,0,0,"0"
Grady Memorial Hospital,Fulton,8775,14625,10000,"7420"
Gsu Student Health Center,Fulton,975,0,1000,"500"
Gwinnett Clinic,Fulton,1950,1950,2000,"1500"
harmoni medical care dba harmoni complet,Fulton,0,0,0,"0"
Healing Community Center,Fulton,0,0,200,"200"
Health One Medical Group Llc,Fulton,0,0,3100,"0"
Highland Urgent Care And Family Medicine,Fulton,0,0,1300,"200"
"Hillside, Inc.",Fulton,0,0,400,"200"
hipnation johns creek,Fulton,0,0,0,"0"
integrity compounding pharmacy,Fulton,0,0,500,"0"
"Internal Medicine Specialists Of Atlanta, Pc",Fulton,0,0,1100,"100"
Ivy Falls Family Medicine,Fulton,0,0,200,"0"
juliet asher md pc internal medicine,Fulton,0,0,0,"0"
Kaiser Permanente Southwood Comprehensive Medical Center Fulton,16575,6825,1000,"100",NA
kirkwood family medicine,Fulton,0,0,0,"0"
Kroger Pharmacy 01100247,Fulton,0,0,1400,"200"
Kroger Pharmacy 01100298,Fulton,0,0,1500,"400"
kroger pharmacy 01100344,Fulton,0,0,1300,"0"
Kroger Pharmacy 01100346,Fulton,0,0,1400,"100"
Kroger Pharmacy 01100364,Fulton,0,0,1400,"300"
Kroger Pharmacy 01100390,Fulton,0,0,1300,"700"
Kroger Pharmacy 01100412,Fulton,0,0,1400,"200"
Kroger Pharmacy 01100415,Fulton,0,0,1100,"300"
Kroger Pharmacy 01100431,Fulton,0,0,1300,"300"
Kroger Pharmacy 01100441,Fulton,0,0,1300,"300"
Kroger Pharmacy 01100444,Fulton,0,0,1300,"200"
Kroger Pharmacy 01100451,Fulton,0,0,1400,"200"
Kroger Pharmacy 01100462,Fulton,0,0,1400,"400"
Kroger Pharmacy 01100465,Fulton,0,0,1400,"300"
Kroger Pharmacy 01100467,Fulton,0,0,1300,"200"
Kroger Pharmacy 01100469,Fulton,0,0,1300,"300"
Kroger Pharmacy 01100471,Fulton,0,0,1400,"200"
Kroger Pharmacy 01100488,Fulton,0,0,1400,"200"
Kroger Pharmacy 01100495,Fulton,0,0,1300,"200"
Kroger Pharmacy 01100497,Fulton,0,0,1300,"100"
Kroger Pharmacy 01100626,Fulton,0,0,1300,"300"
Kroger Pharmacy 01100653,Fulton,0,0,1300,"200"
Kroger Pharmacy 01100672,Fulton,0,0,1400,"200"
Kroger Pharmacy 01100695,Fulton,0,0,1300,"200"
Kroger Pharmacy 259,Fulton,0,0,1300,"300"
labcorp employer services inc,Fulton,0,0,0,"0"
lifehope labs llc,Fulton,0,0,0,"0"
Main Street Internal Medicine & Pediatrics Pc,Fulton,0,0,300,"200"
mci diagnostic,Fulton,0,0,4000,"0"
Mdvip Medical Group Ga-atl Llc,Fulton,0,0,4200,"300"
medical associates of georgia,Fulton,0,0,0,"0"
Mercy Care Corc,Fulton,0,0,100,"100"
Mercy Care Sjmc,Fulton,0,0,600,"600"
Metro Medical Associates,Fulton,0,0,1000,"0"
Morehouse Healthcare/Cfhc,Fulton,3900,0,10000,"2200"
morehouse school of medicine vaccine t,Fulton,0,0,0,"0"
Mps/Communicable Disease Clinic,Fulton,39000,32175,20000,"7300"
Neighborhood Union Health Center,Fulton,0,0,1200,"600"
North Atlanta Medical & Digestive Care,Fulton,0,0,700,"0"
north atlanta vascular clinic,Fulton,0,0,0,"0"
North Chattahoochee Family Physicians,Fulton,0,0,400,"100"
north fulton family medicine,Fulton,0,0,0,"0"
North Fulton Regional Health Center,Fulton,60450,11700,4800,"800"
North Roswell Internal Medicine,Fulton,0,0,300,"400"
Northside Hospital,Fulton,40950,22825,25000,"3600"
Northside/Northpoint Obgyn,Fulton,0,0,1800,"400"
Oak Tree Family Medicine,Fulton,0,0,200,"100"
Ob/Gyn Of North Atlanta,Fulton,0,0,100,"0"
Obstetrics & Gynecology Of Atlanta,Fulton,0,0,2400,"400"
Oh Pharmacy,Fulton,0,0,5600,"800"
omni primary care pc,Fulton,0,0,0,"0"
One Medical,Fulton,0,0,600,"0"
One Medical Buckhead,Fulton,0,0,600,"0"
Pandya Medical Center,Fulton,0,0,12200,"200"
passport health,Fulton,0,0,0,"0"
Peachtree Allergy And Asthma Clinic,Fulton,0,0,400,"100"
Peachtree Orthopedic Surgery Center,Fulton,0,0,400,"400"
Peachtree Orthopedic Surgery Center At Perimeter,Fulton,0,0,200,"100"
Peachtree Orthopedics,Fulton,0,0,300,"300"
pediatric physicians pc,Fulton,0,0,0,"0"
Perimeter North Internal Medicine,Fulton,0,0,1200,"400"
Personal Care Physicians Of Atlanta,Fulton,0,0,1600,"200"
Piedmont Atlanta Hospital,Fulton,27300,14625,29000,"13500"
Piedmont Cancer Institute,Fulton,0,0,0,"200"
piedmont eye,Fulton,0,0,0,"0"
podiatry care of georgia llc,Fulton,0,0,0,"0"
ponce de leon clinic the,Fulton,0,0,0,"0"
pruitthealth pharmacy services christian,Fulton,0,0,0,"0"
Publix Pharmacy #0541,Fulton,0,0,1000,"300"
Publix Pharmacy #1226,Fulton,0,0,1000,"300"
Publix Pharmacy #1647,Fulton,0,0,1300,"500"
Publix Pharmacy #1718,Fulton,0,0,1100,"400"
Publix Pharmacy#0226,Fulton,0,0,1100,"500"
Publix Pharmacy#0282,Fulton,0,0,1400,"600"
Publix Pharmacy#0468,Fulton,0,0,1000,"300"
Publix Pharmacy#0469,Fulton,0,0,1000,"300"
Publix Pharmacy#0503,Fulton,0,0,1600,"800"
Publix Pharmacy#0514,Fulton,0,0,1000,"300"
Publix Pharmacy#0515,Fulton,0,0,1000,"300"
Publix Pharmacy#0556,Fulton,0,0,1000,"300"
Publix Pharmacy#0599,Fulton,0,0,1600,"800"
Publix Pharmacy#0626,Fulton,0,0,1200,"500"
Publix Pharmacy#0646,Fulton,0,0,1200,"500"
Publix Pharmacy#0647,Fulton,0,0,1200,"500"
Publix Pharmacy#0664,Fulton,0,0,1400,"500"
Publix Pharmacy#0718,Fulton,0,0,1300,"600"
Publix Pharmacy#0721,Fulton,0,0,1000,"300"
Publix Pharmacy#0724,Fulton,0,0,1000,"300"
Publix Pharmacy#0762,Fulton,0,0,1200,"600"
Publix Pharmacy#1010,Fulton,0,0,1000,"300"
Publix Pharmacy#1019,Fulton,0,0,1000,"300"
Publix Pharmacy#1043,Fulton,0,0,1000,"300"
Publix Pharmacy#1044,Fulton,0,0,1200,"400"
Publix Pharmacy#1056,Fulton,0,0,1200,"400"
Publix Pharmacy#1060,Fulton,0,0,1000,"300"
Publix Pharmacy#1061,Fulton,0,0,1300,"500"
Publix Pharmacy#1119,Fulton,0,0,1600,"700"
Publix Pharmacy#1183,Fulton,0,0,1300,"500"
pure life renal of perimeter llc,Fulton,0,0,0,"0"
Red Apple Interactive Pharmacy,Fulton,0,0,4700,"600"
resurgia health solutions,Fulton,0,0,0,"0"
Revue Pharmacy,Fulton,0,0,5000,"0"
Roswell Ob/Gyn,Fulton,975,0,4400,"500"
roswell pediatric centercrabapple,Fulton,0,0,300,"0"
roswell pediatric clinic alpha ct,Fulton,0,0,300,"0"
sams club store 6646,Fulton,0,0,0,"0"
Sandra Adamson Fryhofer,Fulton,0,0,200,"0"
Sandy Springs Family Medicine And Urgent Care,Fulton,0,0,1300,"300"
"Sandy Springs Internal Medicine, Pc",Fulton,0,0,18800,"400"
Sanus Medical,Fulton,0,0,3300,"400"
Select Specialty Hospital-midtown Atlanta,Fulton,0,0,300,"300"
Shepherd Center,Fulton,1950,2275,2000,"2000"
"Southern Medical Clinic, Llc",Fulton,0,0,400,"200"
Stamps Health Services At Georgia Institute Of Technology,Fulton,2925,3900,200,"200"
Steven Marlowe Md/Ipsum Diagnostics,Fulton,2925,0,600,"200"
suntrust atlanta,Fulton,0,0,0,"0"
The Center For Internal & Integrative Medicine,Fulton,0,0,500,"0"
The Family Health Centers Of Georgia Inc.,Fulton,2925,1950,1300,"900"
"The Physicians Spine And Rehabilitation Specialists Of Georgia, Pc Fulton",0,0,300,"100",NA
tim cummings md,Fulton,0,0,500,"0"
tlc of georgia llc the little clinic bil,Fulton,0,0,0,"0"
trinity dialysis clinic,Fulton,0,0,0,"0"
turner health wellness,Fulton,0,0,0,"0"
Tuxedo Pharmacy,Fulton,0,0,17100,"1000"
tyson camilla plant,Fulton,0,0,0,"0"
Walgreens #09451,Fulton,0,0,800,"0"
Walgreens #18233,Fulton,0,0,800,"0"
walgreens 10265,Fulton,0,0,0,"0"
walgreens 10422,Fulton,0,0,0,"0"
walgreens 11488,Fulton,0,0,0,"0"
walgreens 13641,Fulton,0,0,0,"0"
walgreens 13759,Fulton,0,0,0,"0"
walgreens 15304,Fulton,0,0,0,"0"
walgreens 16088,Fulton,0,0,0,"0"
walgreens 5605,Fulton,0,0,0,"0"
Walgreens 5760,Fulton,0,0,200,"0"
walgreens 5903,Fulton,0,0,0,"0"
walgreens 6032,Fulton,0,0,0,"0"
walgreens 6204,Fulton,0,0,0,"0"
walgreens 7394,Fulton,0,0,0,"0"
walgreens 7395,Fulton,0,0,0,"0"
walgreens 9303,Fulton,0,0,0,"0"
walmart store 1578,Fulton,0,0,0,"0"
walmart store 2154,Fulton,0,0,0,"0"
walmart store 2941,Fulton,0,0,0,"0"
walmart store 3008,Fulton,0,0,0,"0"
walmart store 3401,Fulton,0,0,0,"0"
walmart store 3709,Fulton,0,0,0,"0"
walmart store 3741,Fulton,0,0,0,"0"
walmart store 3775,Fulton,0,0,0,"0"
walmart store 5010,Fulton,0,0,0,"0"
walmart store 6998,Fulton,0,0,0,"0"
walmart store 855,Fulton,0,0,0,"0"
weinstein hospice,Fulton,0,0,0,"0"
"Wellstar Atlanta Medical Center, Inc",Fulton,33150,9750,30000,"2500"
Wender & Roberts Drugs - Wpf,Fulton,0,0,1100,"100"
Yourtown Health Palmetto,Fulton,0,0,12100,"1300"
Ellijay Urgent Care & Family Practice,Gilmer,0,0,400,"0"
Georgia Mountains Health Ellijay,Gilmer,0,0,1500,"900"
Gilmer County Fire Rescue,Gilmer,0,0,1800,"400"
Gilmer Health Dept,Gilmer,975,0,20100,"7400"
huffs drug store,Gilmer,0,0,0,"0"
Ingles Pharmacy #409,Gilmer,0,0,1000,"700"
walmart 1070,Gilmer,0,0,0,"0"
college park healthcare center,Glascock,0,0,0,"0"
Glascock County Health Dept,Glascock,0,0,2700,"1700"
Tri-county Health Systems - Glascock,Glascock,0,0,300,"300"
Coastal Community Health Services,Glynn,0,0,2500,"1700"
Coastal Family Medicine,Glynn,0,0,2500,"400"
fredrica academy,Glynn,0,0,0,"0"
glynn care center,Glynn,0,0,0,"0"
Glynn County Health Department,Glynn,16575,15600,4700,"3400"
golden isles family healthcare llc,Glynn,0,0,0,"0"
"Jwg Md, Llc Dba James W. Greene, Md,Llc",Glynn,0,0,600,"200"
Partners In Health,Glynn,0,0,500,"500"
Publix Pharmacy#0431,Glynn,0,0,1000,"900"
sams club 7658,Glynn,0,0,0,"0"
senior care center,Glynn,0,0,0,"0"
"Southeast Georgia Health System, Brunswick Campus",Glynn,35100,9750,26000,"5600"
walgreens 7848,Glynn,0,0,0,"0"
walmart store 2840,Glynn,0,0,0,"0"
walmart store 639,Glynn,0,0,0,"0"
Willard A Snyder Jr Md,Glynn,0,0,1300,"300"
winn dixie 0019,Glynn,0,0,0,"0"
Adventhealth Gordon Hospital,Gordon,2925,1950,0,"0"
calhoun drug company,Gordon,0,0,0,"0"
coh healthy life center calhoun,Gordon,0,0,0,"0"
Food City Pharmacy #212,Gordon,0,0,100,"0"
Gordon County Health Department,Gordon,0,0,21900,"6000"
kroger pharmacy 393,Gordon,0,0,0,"300"
The Prescription Shop,Gordon,0,0,3300,"1000"
walmart 1215,Gordon,0,0,0,"0"
center drugs,Grady,0,0,0,"0"
Center Drugs,Grady,0,0,1200,"200"
Grady County Health Department,Grady,0,0,1700,"2300"
grady primary care,Grady,0,0,1000,"0"
Quail Ridge Family Practice,Grady,0,0,100,"0"
U Save It Pharmacy - Cairo,Grady,0,0,600,"400"
walmart store 858,Grady,0,0,0,"0"
Cowles Clinic Urology,Greene,0,0,8800,"2300"
Greene County Health Dept,Greene,0,0,900,"500"
middle georgia medical associates,Greene,0,0,0,"0"
Publix Pharmacy#0853,Greene,0,0,1400,"500"
Ag Family Medicine,Gwinnett,0,0,5000,"500"
alpha pharmacy and wellness center,Gwinnett,0,0,0,"0"
angelic clinical services llc,Gwinnett,0,0,0,"0"
"Avvsc Lawrenceville, Llc",Gwinnett,0,0,0,"0"
Berkeley Family Medicine Associates,Gwinnett,0,0,500,"0"
better health care medical group,Gwinnett,0,0,0,"0"
boat people sos bpsos atlanta cli,Gwinnett,0,0,0,"0"
Buford Dialysis,Gwinnett,0,0,1600,"0"
Buford Family Practice And Urgent Care,Gwinnett,0,0,100,"0"
buford health center,Gwinnett,0,0,0,"0"
buford medical clinic,Gwinnett,0,0,0,"0"
Buford Norcross Primary Care,Gwinnett,0,0,5000,"700"
careatcsugarloaf,Gwinnett,0,0,0,"0"
"Carlinvision Surgery Center, Llc",Gwinnett,0,0,100,"100"
Clinica Union,Gwinnett,0,0,300,"300"
comprehensive primary and urgent care,Gwinnett,0,0,0,"0"
Cooper Pediatrics,Gwinnett,0,0,1200,"200"
covenant health pharmacy,Gwinnett,0,0,0,"0"
Cpacs Cosmo Health Center,Gwinnett,975,0,500,"0"
drews family medicine,Gwinnett,0,0,700,"0"
eastside family pharmacy,Gwinnett,0,0,0,"0"
Eastside Medical Center,Gwinnett,1950,2925,1600,"800"
enerdrip iv infusion med spa,Gwinnett,975,0,1500,"0"
"Evergreen Family Medicine, Llc",Gwinnett,0,0,2200,"200"
express pharmacy,Gwinnett,0,0,200,"0"
Four Corners Primary Care Centers - Norcross,Gwinnett,0,0,600,"600"
Fresenius Gwinnett At Home,Gwinnett,0,0,100,"0"
Fresenius Kidney Care Lilburn,Gwinnett,0,1950,200,"0"
fwp2017,Gwinnett,0,0,2000,"0"
Ga Internal Medicine,Gwinnett,0,0,10200,"100"
genoa healthcare,Gwinnett,0,0,0,"0"
Georgia Clinic @ Sugarloaf,Gwinnett,0,0,7100,"200"
Georgia Clinic At Peachtree Corners,Gwinnett,0,0,11200,"100"
Georgia Family Care Lawrenceville,Gwinnett,0,0,500,"0"
Georgiasurgicare,Gwinnett,1950,0,300,"200"
group 3001 care here clinic,Gwinnett,0,0,100,"0"
Gwinnett Comprehensive Medical Center,Gwinnett,16575,5850,1000,"200"
Gwinnett County Board Of Health*,Gwinnett,58500,19500,54000,"10600"
gwinnett county sheriffs office,Gwinnett,0,0,0,"0"
Gwinnett County Wellness Center,Gwinnett,0,0,200,"0"
Gwinnett Drugs Llc,Gwinnett,20475,0,48400,"1600"
gwinnett ped adolescent medicine,Gwinnett,0,0,0,"0"
Gwinnett Pulmonary Group,Gwinnett,975,975,4700,"400"
gwinnett urgent care,Gwinnett,0,0,0,"0"
Gynecology Associates Of Gwinnett,Gwinnett,0,0,100,"200"
hamilton mill health choice,Gwinnett,0,0,0,"0"
Hope Clinic Inc,Gwinnett,0,0,100,"0"
Horizons Healthcare,Gwinnett,0,0,100,"0"
Internal Medicine Associates Of Lawrenceville,Gwinnett,0,0,100,"0"
Jk Internal Medicine,Gwinnett,0,0,3000,"300"
Kroger Pharmacy #394,Gwinnett,0,0,1400,"200"
Kroger Pharmacy #443,Gwinnett,0,0,1400,"400"
Kroger Pharmacy 01100350,Gwinnett,0,0,1300,"600"
kroger pharmacy 01100352,Gwinnett,0,0,1400,"0"
Kroger Pharmacy 01100374,Gwinnett,0,0,1400,"300"
Kroger Pharmacy 01100381,Gwinnett,0,0,1500,"200"
Kroger Pharmacy 01100389,Gwinnett,0,0,1400,"400"
Kroger Pharmacy 01100424,Gwinnett,0,0,1500,"300"
Kroger Pharmacy 01100434,Gwinnett,0,0,1300,"200"
Kroger Pharmacy 01100438,Gwinnett,0,0,1500,"200"
Kroger Pharmacy 01100440,Gwinnett,0,0,1400,"200"
Kroger Pharmacy 01100457,Gwinnett,0,0,1500,"200"
Kroger Pharmacy 01100476,Gwinnett,0,0,1600,"0"
Kroger Pharmacy 01100477,Gwinnett,0,0,1500,"200"
Kroger Pharmacy 01100480,Gwinnett,0,0,1400,"200"
Kroger Pharmacy 01100483,Gwinnett,0,0,1400,"200"
Kroger Pharmacy 01100484,Gwinnett,0,0,1400,"200"
Kroger Pharmacy 01100494,Gwinnett,0,0,1500,"200"
Kroger Pharmacy 01100635,Gwinnett,0,0,1800,"200"
Kroger Pharmacy 01100636,Gwinnett,0,0,1700,"200"
Kroger Pharmacy 01100687,Gwinnett,0,0,1500,"200"
kroger pharmacy 426,Gwinnett,0,0,1000,"200"
La Vista Norcross Clinic,Gwinnett,0,0,500,"200"
lawrenceville family practice,Gwinnett,0,0,0,"0"
Lawrenceville Health Center,Gwinnett,0,4875,5500,"10400"
Lifeline Primary Care,Gwinnett,975,0,9500,"300"
Lifeline Primary Care,Gwinnett,975,0,6500,"200"
lilburn medical center pc,Gwinnett,0,0,0,"0"
magnolia medical clinic norcross,Gwinnett,0,0,1000,"0"
"Managed Health Solutions, Llc",Gwinnett,14625,8775,8300,"2800"
maternal gynerations,Gwinnett,0,0,0,"0"
maxa internal medicine associates pc,Gwinnett,0,0,0,"0"
mckinley alliance group llc,Gwinnett,0,0,0,"0"
Medi-thrift Pharmacy,Gwinnett,0,0,1200,"900"
Medlink Georgia - Gwinnett,Gwinnett,0,0,300,"400"
micromeritics health and wellness center,Gwinnett,0,0,0,"0"
namaste pharmacy llc,Gwinnett,0,0,800,"0"
Ngpg Buford,Gwinnett,975,0,400,"0"
Ngpg Dacula Primary Care,Gwinnett,0,0,1500,"0"
Ngpg Hamilton Mill,Gwinnett,0,0,1500,"0"
Norcross Health Center,Gwinnett,975,4875,3500,"3900"
Northside Hospital Gwinnett,Gwinnett,40950,13650,25000,"2400"
Occupational Health Solutions,Gwinnett,0,0,1000,"0"
One Health Research Clinic,Gwinnett,1950,975,200,"100"
pediatric associates of n atlanta,Gwinnett,0,0,0,"0"
Pleasant Hill Family Medicine,Gwinnett,0,0,10600,"800"
Premier Primary Care,Gwinnett,0,0,600,"0"
premise healthboehringer ingelheim dulu,Gwinnett,0,0,0,"0"
price industries health center suwanee,Gwinnett,0,0,0,"0"
prime health medical center,Gwinnett,0,0,100,"0"
Publix Pharmacy #1678,Gwinnett,0,0,1000,"300"
Publix Pharmacy#0074,Gwinnett,0,0,1000,"300"
Publix Pharmacy#0495,Gwinnett,0,0,1000,"300"
Publix Pharmacy#0505,Gwinnett,0,0,1600,"800"
Publix Pharmacy#0508,Gwinnett,0,0,1600,"800"
Publix Pharmacy#0538,Gwinnett,0,0,1000,"300"
Publix Pharmacy#0539,Gwinnett,0,0,1100,"500"
Publix Pharmacy#0560,Gwinnett,0,0,1000,"300"
Publix Pharmacy#0564,Gwinnett,0,0,1400,"500"
Publix Pharmacy#0569,Gwinnett,0,0,1000,"300"
Publix Pharmacy#0585,Gwinnett,0,0,1100,"500"
Publix Pharmacy#0596,Gwinnett,0,0,1200,"500"
Publix Pharmacy#0612,Gwinnett,0,0,1200,"500"
Publix Pharmacy#0615,Gwinnett,0,0,1100,"500"
Publix Pharmacy#0726,Gwinnett,0,0,1000,"300"
Publix Pharmacy#0789,Gwinnett,0,0,1300,"600"
Publix Pharmacy#0803,Gwinnett,0,0,1200,"500"
Publix Pharmacy#0859,Gwinnett,0,0,1600,"700"
Publix Pharmacy#0863,Gwinnett,0,0,1300,"700"
Publix Pharmacy#1078,Gwinnett,0,0,1600,"700"
Publix Pharmacy#1178,Gwinnett,0,0,1000,"300"
ravi k pasupuleti,Gwinnett,0,0,0,"0"
reagan medical center,Gwinnett,0,0,0,"0"
Reagan Medical Center,Gwinnett,0,0,25000,"700"
revive medical center,Gwinnett,0,0,200,"0"
River Parc Internal Medicine,Gwinnett,0,0,6200,"200"
sams club 4739,Gwinnett,0,0,0,"0"
sams club store 4780,Gwinnett,0,0,0,"0"
sams club store 8166,Gwinnett,0,0,0,"0"
Select Specialty Hospital - Augusta,Gwinnett,0,0,400,"300"
"Shah Pediatrics, Inc.",Gwinnett,0,0,100,"0"
strickland family medicine center,Gwinnett,0,0,0,"0"
Suburban Medical Center,Gwinnett,0,0,5200,"1300"
Sugarloaf Medical Pc,Gwinnett,2925,1950,600,"900"
Suwanee Pharmacy,Gwinnett,0,0,800,"600"
the healthy woman,Gwinnett,0,0,0,"0"
the little clinic kroger suwanee,Gwinnett,0,0,0,"0"
the little clinic of ga rockbridge,Gwinnett,0,0,0,"0"
the little clinic of ga cumming hwy,Gwinnett,0,0,0,"0"
the little clinic of ga dacula rd,Gwinnett,0,0,0,"0"
Tri County Internal Medicine,Gwinnett,0,0,4500,"400"
Walgreens #06088,Gwinnett,0,0,800,"0"
Walgreens #10248,Gwinnett,0,0,800,"0"
walgreens 12147,Gwinnett,0,0,0,"0"
walgreens 5896,Gwinnett,0,0,0,"0"
walgreens 5898,Gwinnett,0,0,0,"0"
walgreens 5899,Gwinnett,0,0,0,"0"
walgreens 5989,Gwinnett,0,0,0,"0"
walgreens 5990,Gwinnett,0,0,0,"0"
walgreens 6185,Gwinnett,0,0,0,"0"
walgreens 6276,Gwinnett,0,0,0,"0"
walgreens 6638,Gwinnett,0,0,0,"0"
walgreens 6699,Gwinnett,0,0,0,"0"
walgreens 7001,Gwinnett,0,0,0,"0"
walgreens 7502,Gwinnett,0,0,0,"0"
walgreens 7546,Gwinnett,0,0,0,"0"
walgreens 7608,Gwinnett,0,0,0,"0"
walgreens 7958,Gwinnett,0,0,0,"0"
walgreens 7960,Gwinnett,0,0,0,"0"
walgreens 9494,Gwinnett,0,0,0,"0"
Walgreens Store 6207,Gwinnett,0,0,100,"0"
walmart 1184,Gwinnett,0,0,0,"0"
walmart store 1314,Gwinnett,0,0,0,"0"
walmart store 1373,Gwinnett,0,0,0,"0"
walmart store 1720,Gwinnett,0,0,0,"0"
walmart store 3067,Gwinnett,0,0,0,"0"
walmart store 3070,Gwinnett,0,0,0,"0"
walmart store 3072,Gwinnett,0,0,0,"0"
walmart store 3074,Gwinnett,0,0,0,"0"
walmart store 3388,Gwinnett,0,0,0,"0"
walmart store 3462,Gwinnett,0,0,0,"0"
walmart store 3786,Gwinnett,0,0,0,"0"
walmart store 548,Gwinnett,0,0,0,"0"
yoo pharmacy duluth,Gwinnett,0,0,0,"0"
Zam Zam Family Clinic,Gwinnett,0,0,400,"100"
zaman pediatric center,Gwinnett,0,0,100,"0"
Arnold Drug Company,Habersham,0,0,3000,"300"
Baldwin Pharmacy Llc,Habersham,0,0,3000,"700"
Clarkesville Drug Inc,Habersham,0,0,5300,"200"
Crossroads Pharmacy,Habersham,0,0,300,"100"
Dialysis Clinic East Columbus,Habersham,0,0,100,"100"
fieldale farms,Habersham,0,0,400,"0"
fieldale farms family health center,Habersham,0,0,0,"0"
Habersham County Health Department,Habersham,0,0,8000,"4100"
Habersham Medical Center - Employee Benefits,Habersham,1950,0,5000,"1400"
Habersham Primary Care,Habersham,0,0,800,"300"
hospital habersham medical center,Habersham,0,0,0,"0"
Ingles Pharmacy #428,Habersham,0,0,1100,"800"
Ingles Pharmacy #61,Habersham,0,0,1000,"700"
north shore convenient care occupational health,Habersham,0,0,0,"0"
tims pharmacy,Habersham,0,0,200,"0"
walgreens 12944,Habersham,0,0,0,"0"
windermere medical at habersham,Habersham,0,0,0,"0"
Braselton Pharmacy,Hall,0,0,900,"0"
Brenau University,Hall,0,0,2000,"100"
Cbo Wauka Mtn,Hall,0,0,6500,"100"
Citizens Pharmacy,Hall,0,0,29300,"1500"
Community Medical Care,Hall,0,0,200,"100"
fresenius kidney care braselton,Hall,0,0,0,"0"
good news clinics,Hall,0,0,200,"0"
guilford immediate care,Hall,0,0,0,"0"
Hall County Health Department,Hall,68250,20475,60400,"12400"
infection prevention control,Hall,0,0,0,"0"
Ingles Pharmacy #412,Hall,0,0,1000,"700"
Kroger Pharmacy 01100416,Hall,0,0,1700,"400"
Kroger Pharmacy 01100437,Hall,0,0,1500,"300"
Kroger Pharmacy 01100682,Hall,0,0,1700,"200"
Lawrence Pharmacy,Hall,0,0,800,"100"
Longstreet Clinic,Hall,0,0,1000,"300"
